id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
424029,2012,2009-11-11,420,1019,459,2697,2322,3637,4815,5977,6515,5202,3006,1060,303,158
21063455,La Forme de l'eau,2018-02-21,685,10727,591,8418,162,235,567,1237,2680,6169,10208,8180,2856,840
27059297,Joker,2019-10-09,784,6817,793,9253,96,96,213,422,882,2173,5770,10983,9139,3408
387893,Le Livre de la jungle,1967-10-18,731,1130,62,6314,35,63,163,460,1708,5146,11457,9575,3287,1391
482589,Les Fils de l'homme,2006-09-22,761,7724,347,9760,63,125,265,561,1535,3755,8463,10563,5876,2080
440893,Il était une fois dans l'Ouest,1968-12-21,846,9133,281,14370,44,28,79,129,420,1337,4940,10535,9778,6034
483863,The Amazing Spider-Man,2012-07-04,556,1170,621,4316,472,949,1807,3558,6311,8958,7530,2919,573,267
365246,Le Prénom,2012-04-25,655,1689,382,3399,275,446,815,1353,3011,6770,11001,6994,2092,689
490077,Les Dents de la mer,1975-06-20,721,4045,241,10037,151,178,403,844,2356,5851,10885,8022,3180,1614
386061,Pirates des Caraïbes : La Fontaine de Jouvence,2011-05-20,501,1176,360,3098,605,1439,3057,5439,7326,7485,5096,2135,577,403
395521,Captain America : Le Soldat de l'hiver,2014-04-04,597,1747,470,7313,340,610,1153,2468,5182,8922,9014,4243,1183,472
493011,La Vie rêvée de Walter Mitty,2013-12-25,668,5148,549,5753,135,278,600,1337,3217,7248,10851,6822,2387,751
8465851,Le Labyrinthe,2014-09-19,552,1431,420,2658,465,876,1836,3543,6435,9083,7205,2821,882,491
435251,L'Effet papillon,2004-01-22,699,4406,166,4094,120,221,460,891,2080,5565,10929,8987,3362,1033
468827,X-Men 2,2003-04-30,628,1024,117,6757,160,317,701,1740,4676,9996,10294,4443,959,389
418945,Les Aristochats,1970-12-11,720,1196,81,6012,57,88,216,592,1930,5444,11294,9037,3462,1564
429587,Incassable,2000-11-22,685,3921,196,7166,164,297,574,1277,2927,6818,10836,7514,2467,860
404771,Jackie Brown,1997-12-25,726,5955,172,7797,40,81,189,527,1606,5062,11891,10006,3350,1040
478510,La Grande Vadrouille,1966-12-08,742,2387,113,7615,74,85,182,412,1253,3940,10470,10882,4444,2068
490386,Mr. & Mrs. Smith,2005-06-07,518,1122,123,1896,619,1341,2549,4723,7795,8735,5472,2039,444,208
440653,Captain America : First Avenger,2011-07-22,553,1165,463,5224,548,916,1855,3621,6590,9417,7368,2727,602,361
386296,Gremlins,1984-06-08,716,1927,154,6642,89,124,299,696,1989,5957,12325,8901,2628,1024
431329,Hot Fuzz,2007-02-14,729,2960,247,8458,73,121,279,653,1588,4696,10816,10549,4092,1266
414474,King Kong,2005-12-12,636,1600,170,6557,175,402,940,2036,4792,8957,9845,5189,1520,575
465756,Les Noces funèbres,2005-09-07,686,2913,125,6232,88,163,345,884,2437,6858,11995,7958,2686,1020
412087,Taken,2008-02-27,613,1586,318,2923,413,662,1151,2017,4185,8573,10190,5392,1523,456
492474,Un jour sans fin,1993-02-12,738,4539,250,7582,55,119,193,519,1657,5090,11530,10330,3669,1413
421236,Cloud Atlas,2012-10-26,699,8552,708,9675,266,411,770,1490,2785,5209,8700,8465,4485,2006
427297,Boulevard de la mort,2007-05-31,673,5534,294,6272,216,326,687,1388,3031,6968,10927,7405,2704,944
435443,Ted,2012-06-29,565,1241,437,2819,767,1209,2096,3576,6188,9132,7802,3034,616,247
427787,Raiponce,2010-11-24,685,1535,448,5776,131,228,410,982,2655,6805,11112,8149,3045,1281
370308,Taxi,1998-04-08,488,688,125,2027,1824,2217,3227,4588,7097,7950,5414,1936,404,242
361051,Happiness Therapy,2012-11-21,649,3295,429,5375,158,352,750,1840,3997,8470,11522,6045,1516,365
