id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,score,rank,year_release
382239,Matrix,1999-03-31,782,8051,435,21204,467,426,722,1385,3116,7770,20503,31833,20745,11851,1.2211004689765914,27,1999
422876,La Liste de Schindler,1993-12-25,805,14052,224,15761,140,109,183,328,876,2364,7950,15915,11846,5931,1.1985818072714107,28,1993
430335,Reservoir Dogs,1992-09-02,800,10150,331,18780,117,129,230,462,1302,3793,13047,23391,15140,5692,1.195778606081608,29,1992
486492,Le Tombeau des lucioles,1988-04-16,825,12743,436,14629,66,83,183,309,778,2033,6321,14046,13488,7352,1.194456553758412,30,1988
368376,"Le Bon, la Brute et le Truand",1966-12-23,853,9785,310,17367,55,35,72,154,525,1505,5999,13697,13899,8508,1.1885925751216413,31,1966
370894,12 hommes en colère,1957-04-10,870,12214,513,12720,63,21,59,97,258,854,3665,11485,15723,8146,1.180459600179087,32,1957
7938578,Blade Runner 2049,2017-10-04,740,10441,652,12148,123,172,328,849,1711,3715,7381,9932,5688,1471,1.1657970700500806,33,2017
387452,Le Seigneur des Anneaux : La Communauté de l'anneau,2001-12-19,799,6663,351,21038,581,480,806,1278,2765,6236,17687,31309,23637,18670,1.1559374904052804,34,2001
447958,Vol au-dessus d'un nid de coucou,1975-11-21,836,13542,291,13567,41,47,88,191,533,1839,7133,18378,17415,7519,1.1513724588255723,35,1975
9375203,Gone Girl,2014-10-01,772,7799,841,16570,115,181,315,803,1883,5273,14926,24635,12230,2729,1.1349756967783002,36,2014
408277,Forrest Gump,1994-07-06,795,10158,403,16438,628,447,768,1256,2998,7352,20952,35758,27847,20117,1.1155390738295858,37,1994
467266,Taxi Driver,1976-02-08,792,11319,294,16191,57,83,200,491,1344,3779,9897,15375,9809,4283,1.1126966670872132,38,1976
369619,Kill Bill : Volume 1,2003-10-10,764,7855,356,19884,609,563,972,1718,3401,8424,21796,32108,18375,9370,1.1094538512846739,39,2003
411899,Mulholland Drive,2001-10-12,766,13563,389,13873,252,359,587,956,1790,3298,7097,10145,7213,4526,1.1005545483065389,40,2001
495281,Le Loup de Wall Street,2013-12-25,742,6855,796,17937,244,381,748,1635,3432,8170,18459,22749,11107,3307,1.0989287807446573,41,2013
